iter	Passed	Remaining
0	92	9196
1	178	8736
2	254	8242
3	334	8029
4	429	8155
5	521	8170
6	608	8090
7	712	8188
8	797	8064
9	887	7987
10	976	7898
11	1078	7908
12	1172	7847
13	1258	7728
14	1340	7594
15	1445	7589
16	1538	7511
17	1631	7433
18	1740	7419
19	1872	7491
20	1957	7365
21	2040	7234
22	2122	7105
23	2200	6968
24	2290	6870
25	2378	6768
26	2465	6666
27	2550	6558
28	2635	6452
29	2721	6351
30	2814	6265
31	2906	6176
32	2984	6059
33	3069	5958
34	3155	5859
35	3259	5794
36	3393	5778
37	3503	5716
38	3587	5610
39	3672	5508
40	3759	5409
41	3845	5310
42	3924	5201
43	4010	5104
44	4100	5011
45	4183	4911
46	4266	4811
47	4353	4716
48	4447	4628
49	4534	4534
50	4613	4432
51	4706	4344
52	4779	4238
53	4875	4153
54	4958	4056
55	5038	3958
56	5112	3856
57	5198	3764
58	5280	3669
59	5378	3585
60	5475	3500
61	5567	3412
62	5658	3323
63	5746	3232
64	5837	3143
65	5941	3060
66	6040	2975
67	6123	2881
68	6206	2788
69	6292	2696
70	6379	2605
71	6467	2515
72	6562	2427
73	6653	2337
74	6739	2246
75	6817	2153
76	6902	2061
77	6983	1969
78	7074	1880
79	7161	1790
80	7246	1699
81	7339	1611
82	7421	1520
83	7512	1430
84	7597	1340
85	7679	1250
86	7764	1160
87	7858	1071
88	7944	981
89	8027	891
90	8112	802
91	8197	712
92	8286	623
93	8370	534
94	8457	445
95	8541	355
96	8637	267
97	8717	177
98	8796	88
99	8891	0
